max, average, standard deviation
0.5, 0.5, 0.0
0.75, 0.7375, 0.0544862367943
1.0, 0.975, 0.108972473589
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
1.0, 1.0, 0.0
