max, average, standard deviation
0.5, 0.5, 0.0
0.75, 0.5125, 0.124373429638
0.75, 0.525, 0.108972473589
0.75, 0.5125, 0.0544862367943
0.75, 0.525, 0.075
0.75, 0.5125, 0.0544862367943
0.75, 0.5, 0.0790569415042
0.75, 0.55, 0.1
0.75, 0.525, 0.075
0.75, 0.525, 0.134629120178
0.75, 0.5625, 0.108253175473
0.75, 0.5625, 0.108253175473
1.0, 0.575, 0.139194109071
0.75, 0.5875, 0.119242400177
0.75, 0.575, 0.114564392374
0.75, 0.55, 0.1
0.75, 0.6125, 0.124373429638
0.75, 0.55, 0.1
0.75, 0.5875, 0.143069039278
0.75, 0.575, 0.114564392374
0.75, 0.5625, 0.108253175473
1.0, 0.6, 0.165831239518
0.75, 0.5625, 0.108253175473
0.75, 0.6, 0.122474487139
1.0, 0.5625, 0.134047566185
1.0, 0.6125, 0.147372826532
0.75, 0.6, 0.145773797371
0.75, 0.55, 0.1
1.0, 0.65, 0.165831239518
0.75, 0.575, 0.114564392374
0.75, 0.55, 0.12747548784
1.0, 0.6125, 0.167238602003
1.0, 0.6375, 0.167238602003
0.75, 0.6, 0.122474487139
1.0, 0.65, 0.145773797371
1.0, 0.6875, 0.155623744975
1.0, 0.6625, 0.198037243972
1.0, 0.6375, 0.147372826532
1.0, 0.625, 0.167705098312
1.0, 0.6875, 0.155623744975
1.0, 0.625, 0.167705098312
1.0, 0.65, 0.183711730709
1.0, 0.65, 0.145773797371
1.0, 0.65, 0.165831239518
1.0, 0.65, 0.165831239518
1.0, 0.6625, 0.143069039278
1.0, 0.6875, 0.174553000547
1.0, 0.725, 0.175
0.75, 0.6125, 0.124373429638
1.0, 0.7, 0.169558249578
1.0, 0.6375, 0.147372826532
1.0, 0.65, 0.165831239518
0.75, 0.675, 0.114564392374
1.0, 0.75, 0.176776695297
1.0, 0.6875, 0.174553000547
1.0, 0.6625, 0.143069039278
1.0, 0.7, 0.169558249578
1.0, 0.6125, 0.201168461743
1.0, 0.675, 0.160078105936
1.0, 0.675, 0.178535710714
0.75, 0.65, 0.145773797371
1.0, 0.6875, 0.134047566185
0.75, 0.675, 0.114564392374
1.0, 0.6625, 0.143069039278
1.0, 0.6375, 0.147372826532
1.0, 0.675, 0.139194109071
0.75, 0.7125, 0.0892678553568
1.0, 0.675, 0.139194109071
0.75, 0.6, 0.122474487139
1.0, 0.65, 0.145773797371
0.75, 0.6625, 0.119242400177
0.75, 0.6375, 0.124373429638
1.0, 0.6125, 0.147372826532
0.75, 0.6625, 0.119242400177
1.0, 0.6625, 0.163458710383
0.75, 0.625, 0.125
1.0, 0.625, 0.185404962177
1.0, 0.6375, 0.147372826532
1.0, 0.625, 0.147901994577
1.0, 0.6125, 0.147372826532
0.75, 0.625, 0.125
1.0, 0.6, 0.145773797371
1.0, 0.6375, 0.147372826532
1.0, 0.65, 0.165831239518
1.0, 0.6, 0.145773797371
1.0, 0.65, 0.145773797371
1.0, 0.675, 0.139194109071
0.75, 0.675, 0.114564392374
0.75, 0.625, 0.125
0.75, 0.625, 0.125
0.75, 0.6125, 0.124373429638
0.75, 0.6375, 0.124373429638
0.75, 0.6125, 0.124373429638
0.75, 0.6375, 0.124373429638
1.0, 0.625, 0.147901994577
0.75, 0.6625, 0.119242400177
0.75, 0.6, 0.122474487139
0.75, 0.5875, 0.119242400177
1.0, 0.7125, 0.119242400177
0.75, 0.6, 0.122474487139
0.75, 0.625, 0.125
